locus_tag	ftype	length_bp	gene	EC_number	COG	product
BPEKLNGJ_00220	tRNA	76				tRNA-Asp(gtc)
BPEKLNGJ_00221	tRNA	76				tRNA-Met(cat)
BPEKLNGJ_00222	tRNA	93				tRNA-Ser(tga)
BPEKLNGJ_00223	tRNA	76				tRNA-Asp(gtc)
BPEKLNGJ_00224	tRNA	92				tRNA-Ser(tga)
BPEKLNGJ_00225	tRNA	74				tRNA-Met(cat)
BPEKLNGJ_00226	tRNA	74				tRNA-Met(cat)
BPEKLNGJ_00227	tRNA	76				tRNA-Ala(tgc)
BPEKLNGJ_00228	tRNA	74				tRNA-Pro(tgg)
BPEKLNGJ_00229	tRNA	76				tRNA-Arg(acg)
BPEKLNGJ_00230	tRNA	89				tRNA-Leu(taa)
BPEKLNGJ_00231	tRNA	75				tRNA-Gly(gcc)
BPEKLNGJ_00232	tRNA	84				tRNA-Leu(tag)
BPEKLNGJ_00233	tRNA	76				tRNA-Lys(ttt)
BPEKLNGJ_00234	tRNA	76				tRNA-Thr(tgt)
BPEKLNGJ_00235	tRNA	76				tRNA-Val(tac)
BPEKLNGJ_00236	rRNA	78				5S ribosomal RNA (partial)
BPEKLNGJ_00237	rRNA	2918				23S ribosomal RNA
BPEKLNGJ_00238	tRNA	74				tRNA-Ala(tgc)
BPEKLNGJ_00239	tRNA	77				tRNA-Ile(gat)
BPEKLNGJ_00240	rRNA	1549				16S ribosomal RNA
BPEKLNGJ_00241	CDS	447	perR		COG0735	Peroxide-responsive repressor PerR
BPEKLNGJ_00242	CDS	960	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
BPEKLNGJ_00243	CDS	456	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
BPEKLNGJ_00244	CDS	1290	hemL2	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 2
BPEKLNGJ_00245	CDS	1146				hypothetical protein
BPEKLNGJ_00246	CDS	1737		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BPEKLNGJ_00247	CDS	543				hypothetical protein
BPEKLNGJ_00248	CDS	1038	mutY	3.2.2.31		Adenine DNA glycosylase
BPEKLNGJ_00249	CDS	978	yfhP		COG1988	putative protein YfhP
BPEKLNGJ_00250	CDS	837				hypothetical protein
BPEKLNGJ_00251	CDS	1518	tagH_1	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
BPEKLNGJ_00252	CDS	315	yfhH			putative protein YfhH
BPEKLNGJ_00253	CDS	819	recX			Regulatory protein RecX
BPEKLNGJ_00254	CDS	810	mgt	2.4.1.129		Monofunctional glycosyltransferase
BPEKLNGJ_00255	CDS	516			COG0693	putative protein
BPEKLNGJ_00256	CDS	162				hypothetical protein
BPEKLNGJ_00257	CDS	1152				hypothetical protein
BPEKLNGJ_00258	CDS	531				hypothetical protein
BPEKLNGJ_00259	CDS	1248	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
BPEKLNGJ_00260	CDS	207				hypothetical protein
BPEKLNGJ_00261	CDS	465	ptpA	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase PtpA
BPEKLNGJ_00262	CDS	276				hypothetical protein
BPEKLNGJ_00263	CDS	1218				hypothetical protein
BPEKLNGJ_00264	CDS	630	vraR			Response regulator protein VraR
BPEKLNGJ_00265	CDS	1044	vraS	2.7.13.3		Sensor protein VraS
BPEKLNGJ_00266	CDS	702				hypothetical protein
BPEKLNGJ_00267	CDS	387				hypothetical protein
BPEKLNGJ_00268	CDS	759	map_1	3.4.11.18		Methionine aminopeptidase
BPEKLNGJ_00269	CDS	987				hypothetical protein
BPEKLNGJ_00270	CDS	414				hypothetical protein
BPEKLNGJ_00271	CDS	732	gatD_1	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
BPEKLNGJ_00272	CDS	1314	murT	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
BPEKLNGJ_00273	CDS	501	ftnA	1.16.3.2		Bacterial non-heme ferritin
BPEKLNGJ_00274	CDS	555		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
BPEKLNGJ_00275	CDS	1071	dinB	2.7.7.7	COG0389	DNA polymerase IV
BPEKLNGJ_00276	CDS	531				hypothetical protein
BPEKLNGJ_00277	CDS	1362	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
BPEKLNGJ_00278	CDS	948	dagK	2.7.1.107		Diacylglycerol kinase
BPEKLNGJ_00279	CDS	1428	gatB_1	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
BPEKLNGJ_00280	CDS	1458	gatA	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
BPEKLNGJ_00281	CDS	303	gatC_1	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
BPEKLNGJ_00282	CDS	1539	putP			Sodium/proline symporter
BPEKLNGJ_00283	CDS	1200				hypothetical protein
BPEKLNGJ_00284	CDS	2004	ligA	6.5.1.2	COG0272	DNA ligase
BPEKLNGJ_00285	CDS	2193	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
BPEKLNGJ_00286	CDS	693	pcrB	2.5.1.-	COG1646	Heptaprenylglyceryl phosphate synthase
BPEKLNGJ_00287	CDS	303				hypothetical protein
BPEKLNGJ_00288	CDS	1296	purB	4.3.2.2		Adenylosuccinate lyase
BPEKLNGJ_00289	CDS	1167	sspP	3.4.22.48		Staphopain A
BPEKLNGJ_00290	CDS	327				hypothetical protein
BPEKLNGJ_00291	CDS	603				hypothetical protein
BPEKLNGJ_00292	CDS	822	nadE	6.3.1.5		NH(3)-dependent NAD(+) synthetase
BPEKLNGJ_00293	CDS	1470	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
BPEKLNGJ_00294	CDS	1077	nos	1.14.14.47	COG4362	Nitric oxide synthase oxygenase
BPEKLNGJ_00295	CDS	795	pheA			Bifunctional chorismate mutase/prephenate dehydratase
BPEKLNGJ_00296	CDS	1563	sdcS			Sodium-dependent dicarboxylate transporter SdcS
BPEKLNGJ_00297	CDS	1098				hypothetical protein
BPEKLNGJ_00298	CDS	561	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BPEKLNGJ_00299	CDS	930	ppaC	3.6.1.1		putative manganese-dependent inorganic pyrophosphatase
BPEKLNGJ_00300	CDS	1380	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
BPEKLNGJ_00301	CDS	1029				putative protein
BPEKLNGJ_00302	CDS	402				hypothetical protein
BPEKLNGJ_00303	CDS	174				hypothetical protein
BPEKLNGJ_00304	CDS	1113				hypothetical protein
BPEKLNGJ_00305	CDS	843				hypothetical protein
BPEKLNGJ_00306	CDS	558				hypothetical protein
BPEKLNGJ_00307	CDS	525				hypothetical protein
BPEKLNGJ_00308	CDS	564				hypothetical protein
BPEKLNGJ_00309	CDS	741				hypothetical protein
BPEKLNGJ_00310	CDS	873	bcrA_1			Bacitracin transport ATP-binding protein BcrA
BPEKLNGJ_00311	CDS	681				hypothetical protein
BPEKLNGJ_00312	CDS	897	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BPEKLNGJ_00313	CDS	381	ytrA		COG1725	HTH-type transcriptional repressor YtrA
BPEKLNGJ_00314	CDS	177				hypothetical protein
BPEKLNGJ_00315	CDS	1287	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
BPEKLNGJ_00316	CDS	291	map_2			Protein map
BPEKLNGJ_00317	CDS	1749				65 kDa membrane protein
BPEKLNGJ_00318	CDS	201	hlb_1	3.1.4.3		Phospholipase C
BPEKLNGJ_00319	CDS	351	scn_1			Staphylococcal complement inhibitor
BPEKLNGJ_00320	CDS	450	chp			Chemotaxis inhibitory protein
BPEKLNGJ_00321	CDS	297		3.5.1.28		putative autolysin PH
BPEKLNGJ_00322	CDS	492	sak			Staphylokinase
BPEKLNGJ_00323	CDS	756				hypothetical protein
BPEKLNGJ_00324	CDS	255				hypothetical protein
BPEKLNGJ_00325	CDS	231				hypothetical protein
BPEKLNGJ_00326	CDS	288				hypothetical protein
BPEKLNGJ_00327	CDS	153				hypothetical protein
BPEKLNGJ_00328	CDS	3786				hypothetical protein
BPEKLNGJ_00329	CDS	1485				hypothetical protein
BPEKLNGJ_00330	CDS	4545				hypothetical protein
BPEKLNGJ_00331	CDS	138				hypothetical protein
BPEKLNGJ_00332	CDS	351				hypothetical protein
BPEKLNGJ_00333	CDS	645				hypothetical protein
BPEKLNGJ_00334	CDS	408				hypothetical protein
BPEKLNGJ_00335	CDS	405				hypothetical protein
BPEKLNGJ_00336	CDS	363				hypothetical protein
BPEKLNGJ_00337	CDS	285				hypothetical protein
BPEKLNGJ_00338	CDS	285				hypothetical protein
BPEKLNGJ_00339	CDS	1146				hypothetical protein
BPEKLNGJ_00340	CDS	738	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BPEKLNGJ_00341	CDS	1188				hypothetical protein
BPEKLNGJ_00342	CDS	1662				hypothetical protein
BPEKLNGJ_00343	CDS	345				hypothetical protein
BPEKLNGJ_00344	CDS	297				hypothetical protein
BPEKLNGJ_00345	CDS	417				hypothetical protein
BPEKLNGJ_00346	CDS	204				hypothetical protein
BPEKLNGJ_00347	CDS	651				hypothetical protein
BPEKLNGJ_00348	CDS	153				hypothetical protein
BPEKLNGJ_00349	CDS	150				hypothetical protein
BPEKLNGJ_00350	CDS	390				hypothetical protein
BPEKLNGJ_00351	CDS	237				hypothetical protein
BPEKLNGJ_00352	CDS	204				hypothetical protein
BPEKLNGJ_00353	CDS	207				hypothetical protein
BPEKLNGJ_00354	CDS	537				hypothetical protein
BPEKLNGJ_00355	CDS	171				hypothetical protein
BPEKLNGJ_00356	CDS	255				hypothetical protein
BPEKLNGJ_00357	CDS	366				hypothetical protein
BPEKLNGJ_00358	CDS	453				hypothetical protein
BPEKLNGJ_00359	CDS	195				hypothetical protein
BPEKLNGJ_00360	CDS	387				hypothetical protein
BPEKLNGJ_00361	CDS	243				hypothetical protein
BPEKLNGJ_00362	CDS	369				hypothetical protein
BPEKLNGJ_00363	CDS	405				hypothetical protein
BPEKLNGJ_00364	CDS	219				hypothetical protein
BPEKLNGJ_00365	CDS	894				hypothetical protein
BPEKLNGJ_00366	CDS	471	ssbA_1		COG0629	Single-stranded DNA-binding protein A
BPEKLNGJ_00367	CDS	486				hypothetical protein
BPEKLNGJ_00368	CDS	921				hypothetical protein
